GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Commanded)(:1),Barometric pressure (from vehicle)(psi),Commanded Equivalence Ratio(lambda),Engine Coolant Temperature(°F),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel trim bank 1 sensor 2(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Turbo Boost & Vacuum Gauge(psi)
-,22-Jan-2022 21:54:50.616,-,-,-,-,-,-,-1.08105004,5.69595051,7.94505024,0.0129816,-,-0.01219069,-0.0814526,0.575948,0.69796634,14.77177715,13.92362309,1.00488281,203,20.7843132,16.47058868,-,867,-2.34375,109.40000153,3.62594342,0.99627686,0.66499996,4.70588255,-10.2976799
-,22-Jan-2022 21:54:51.616,-,-,-,-,-,-,-1.01205003,5.4079504,8.15295029,0.02161855,-,-0.02031136,-0.10703364,0.55351681,0.70081043,14.4321804,13.92362309,0.98178101,203,20.3921566,16.47058868,-,864,-2.34375,109.40000153,3.62594342,0.99453735,0.17,4.70588255,-10.2976799
-,22-Jan-2022 21:54:52.616,-,-,-,-,-,-,-1.15005004,5.5260005,7.73205042,0.00788051,-,0.00604619,-0.12527522,0.56422019,0.72304279,14.77177715,13.92362309,1.00488281,201.19999695,21.17647171,15.68627453,-,857,-2.34375,109.40000153,3.77098107,0.99313354,0.745,4.70588255,-10.1526413
-,22-Jan-2022 21:54:53.615,-,-,-,-,-,-,-1.40700006,5.54700041,7.97805023,0.00463167,-,-0.00850793,-0.13506116,0.56819576,0.70081043,14.4321804,13.92362309,0.98178101,201.19999695,21.17647171,16.47058868,-,867,-2.34375,109.40000153,3.62594342,0.99789429,0.09999999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:54.617,-,-,-,-,-,-,-0.46095002,5.74800014,7.69305038,0.02017724,-,-0.01502315,-0.0116208,0.54668194,0.71885324,14.4321804,13.92362309,0.98178101,197.6000061,20.7843132,16.07843208,-,854,-2.34375,109.40000153,3.62594342,0.99349976,0.73499995,4.31372547,-10.2976799
-,22-Jan-2022 21:54:55.616,-,-,-,-,-,-,-0.72405005,6.52095032,7.26000023,0.00509802,-,-0.00126877,-0.07114679,0.65087157,0.65371561,14.4321804,13.92362309,0.98178101,197.6000061,20.7843132,15.68627453,-,853,-2.34375,109.40000153,3.62594342,0.99627686,0.57999998,4.70588255,-10.2976799
-,22-Jan-2022 21:54:56.615,-,-,-,-,-,-,-1.08600008,5.59995031,7.92795038,0.02667339,-,0.00411075,-0.09602446,0.54159021,0.73964828,14.4321804,13.92362309,0.98178101,197.6000061,21.56862831,16.47058868,-,856,-2.34375,109.40000153,3.62594342,0.99536133,0.145,4.31372547,-10.2976799
-,22-Jan-2022 21:54:57.616,-,-,-,-,-,-,-1.19595003,5.88000011,7.48800039,-0.002859,-,-0.0215248,-0.12191131,0.59938836,0.66330278,14.77177715,13.92362309,1.00488281,195.80000305,21.17647171,15.68627453,-,862,-2.34375,109.40000153,3.62594342,0.98852539,0.75,4.31372547,-10.2976799
-,22-Jan-2022 21:54:58.616,-,-,-,-,-,-,-1.56000006,5.99700022,7.50000048,0.01310258,-,-0.02605366,-0.16360855,0.61723244,0.63496941,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,16.47058868,-,853,-2.34375,109.40000153,3.77098107,0.99328613,0.69999999,4.70588255,-10.1526413
-,22-Jan-2022 21:54:59.615,-,-,-,-,-,-,-1.39005005,5.98995018,7.40595055,0.00989487,-,-0.00149257,-0.15290521,0.6108104,0.67451072,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.68627453,-,852,-2.34375,109.40000153,3.62594342,0.99435425,0.685,4.31372547,-10.2976799
-,22-Jan-2022 21:55:00.625,-,-,-,-,-,-,-1.29195011,6.21705008,7.49505043,0.03503243,-,-0.01946264,-0.12191131,0.62986237,0.64108568,14.4321804,13.92362309,0.98178101,195.80000305,21.17647171,16.47058868,-,860,-2.34375,109.40000153,3.62594342,0.9954834,0.125,4.70588255,-10.2976799
-,22-Jan-2022 21:55:01.622,-,-,-,-,-,-,-0.43695003,6.33705044,7.47105026,0.00204177,-,0.02197015,-0.07431193,0.63577986,0.69622326,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,16.47058868,-,851,-2.34375,111.19999695,3.62594342,0.99127197,0.74000001,4.31372547,-10.2976799
-,22-Jan-2022 21:55:02.622,-,-,-,-,-,-,-0.79605001,6.44505024,7.26300049,0.01215708,-,-0.00593221,-0.0919419,0.6559633,0.64077979,14.77177715,13.92362309,1.00488281,195.80000305,20,16.07843208,-,850,-2.34375,111.19999695,3.62594342,0.99435425,0.69,4.31372547,-10.2976799
-,22-Jan-2022 21:55:03.622,-,-,-,-,-,-,-1.06695008,6.51405048,7.06605053,0.00955175,-,-0.00831925,-0.09704893,0.66279817,0.63077986,14.75248718,13.92362309,1.00357056,195.80000305,21.17647171,15.68627453,-,854,-2.34375,111.19999695,3.62594342,0.99520874,0.625,4.31372547,-10.2976799
-,22-Jan-2022 21:55:04.624,-,-,-,-,-,-,-1.15005004,6.62205029,6.95400047,0.01198677,-,-0.01614883,-0.12090214,0.6727829,0.60714066,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.68627453,-,851,-2.34375,111.19999695,3.62594342,0.99511719,0.58499998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:05.623,-,-,-,-,-,-,-1.91595006,6.57195044,7.16205025,0.00833993,-,-0.01292723,-0.19530581,0.67726302,0.59051985,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,15.68627453,-,853,-2.34375,111.19999695,3.62594342,0.993927,0.70999998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:06.628,-,-,-,-,-,-,-1.56495011,6.31605053,7.38705015,0.01376867,-,0.00677453,-0.15504587,0.64209479,0.65932721,14.4321804,13.92362309,0.98178101,195.80000305,20.7843132,15.68627453,-,849,-2.34375,111.19999695,3.62594342,0.99621582,0.45999998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:07.622,-,-,-,-,-,-,-1.00200009,6.06195021,7.47300053,0.00493395,-,-0.00453952,-0.11365443,0.61937308,0.67053521,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.29411793,-,852,-2.34375,111.19999695,3.62594342,0.99008179,0.72499996,4.31372547,-10.2976799
-,22-Jan-2022 21:55:08.622,-,-,-,-,-,-,-1.11495006,6.13395023,7.45695019,0.00980556,-,-0.01150012,-0.11773701,0.62304282,0.65790522,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,16.07843208,-,851,-2.34375,111.19999695,3.62594342,0.99090576,0.71499997,4.31372547,-10.2976799
-,22-Jan-2022 21:55:09.614,-,-,-,-,-,-,-0.95400006,6.16005039,7.39905024,0.01008738,-,-0.00671841,-0.11529052,0.62426603,0.6635015,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,15.68627453,-,849,-2.34375,111.19999695,3.62594342,0.99407959,0.66499996,4.31372547,-10.2976799
-,22-Jan-2022 21:55:10.622,-,-,-,-,-,-,-1.01205003,6.0949502,7.55895042,0.0118362,-,-0.00448122,-0.10316513,0.62129968,0.67053521,14.6327076,13.92362309,0.99542236,197.6000061,20,16.47058868,-,851,-2.34375,111.19999695,3.62594342,0.99615479,0.145,4.31372547,-10.2976799
-,22-Jan-2022 21:55:11.624,-,-,-,-,-,-,-1.03305006,6.15300035,7.39005041,0.01064135,-,-0.00727786,-0.11529052,0.6301682,0.65790522,14.77177715,13.92362309,1.00488281,197.6000061,20.3921566,16.07843208,-,857,-2.34375,111.19999695,3.62594342,0.9899292,0.72499996,4.31372547,-10.2976799
-,22-Jan-2022 21:55:12.626,-,-,-,-,-,-,-1.07895005,6.17400026,7.48305035,0.01523831,-,-0.0043688,-0.1035627,0.63088685,0.66279817,14.77177715,13.92362309,1.00488281,197.6000061,20.7843132,16.47058868,-,841,-3.125,111.19999695,3.62594342,0.99307251,0.70999998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:13.622,-,-,-,-,-,-,-0.60705,6.16200018,7.47105026,0.00813019,-,-0.01316907,-0.0725841,0.6323089,0.65371561,14.77177715,13.92362309,1.00488281,197.6000061,20.3921566,15.68627453,-,848,-3.125,111.19999695,3.62594342,0.99349976,0.67500001,4.31372547,-10.2976799
-,22-Jan-2022 21:55:14.623,-,-,-,-,-,-,-0.73395002,6.13800049,7.49205017,0.00894849,-,-0.01711202,-0.06747707,0.62671256,0.65371561,14.77177715,13.92362309,1.00488281,197.6000061,21.17647171,15.68627453,-,849,-3.125,111.19999695,3.62594342,0.99563599,0.505,4.31372547,-10.2976799
-,22-Jan-2022 21:55:15.624,-,-,-,-,-,-,-1.49505007,5.68395042,7.70805025,0.00575919,-,-0.01553742,-0.15555046,0.59958714,0.66472477,14.4321804,13.92362309,0.98178101,197.6000061,20.3921566,15.68627453,-,858,-3.125,111.19999695,3.62594342,0.9954834,0.19999999,4.31372547,-10.2976799
-,22-Jan-2022 21:55:16.624,-,-,-,-,-,-,-1.60995007,6.23700047,7.34595013,0.00999618,-,-0.00591438,-0.14781345,0.63139141,0.65301222,14.77177715,13.92362309,1.00488281,197.6000061,20.3921566,16.07843208,-,845,-3.125,111.19999695,3.62594342,0.99349976,0.71999997,4.31372547,-10.2976799
-,22-Jan-2022 21:55:17.622,-,-,-,-,-,-,-1.53105009,6.18900013,7.63605022,0.01808055,-,-0.00413183,-0.15310398,0.63547403,0.65087157,14.4321804,13.92362309,0.98178101,197.6000061,20.7843132,15.68627453,-,847,-3.125,111.19999695,3.62594342,0.99673462,0.19499999,4.31372547,-10.2976799
-,22-Jan-2022 21:55:18.622,-,-,-,-,-,-,-1.18395007,6.0949502,7.41600037,0.00493073,-,-0.01560744,-0.11845566,0.61763,0.65688074,14.77177715,13.92362309,1.00488281,197.6000061,20,15.68627453,-,854,-3.125,111.19999695,3.62594342,0.98965454,0.72999996,4.31372547,-10.2976799
