Record Date,Security Type Description,Security Class Description,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-07-31,Savings Bond,I,454855,2395081381.57,52083759.47,2342997622.10,202207,2,2022,4,2022,3,07,31
2022-07-31,Marketable,Bill,51941,4413929400.00,34133000.00,4379796400.00,202207,3,2022,4,2022,3,07,31
2022-07-31,Marketable,Bond,117,1508700.00,87400.00,1421300.00,202207,4,2022,4,2022,3,07,31
2022-07-31,Marketable,Note,3712,105404900.00,4756300.00,100648600.00,202207,5,2022,4,2022,3,07,31
2022-06-30,Savings Bond,EE,18299,11446032.47,936863.33,10509169.14,202206,1,2022,3,2022,2,06,30
2022-06-30,Savings Bond,I,531928,3037655859.73,73057075.25,2964598784.48,202206,2,2022,3,2022,2,06,30
2022-06-30,Marketable,Bill,44679,4169595200.00,43112500.00,4126482700.00,202206,3,2022,3,2022,2,06,30
2022-06-30,Marketable,Bond,619,9924700.00,20300.00,9904400.00,202206,4,2022,3,2022,2,06,30
2022-06-30,Marketable,Note,12597,573380600.00,2152400.00,571228200.00,202206,5,2022,3,2022,2,06,30
2022-05-31,Savings Bond,EE,19624,15461687.00,475213.99,14986473.01,202205,1,2022,3,2022,2,05,31
2022-05-31,Savings Bond,I,776312,4976522143.69,109767749.77,4866754393.92,202205,2,2022,3,2022,2,05,31
2022-05-31,Marketable,Bill,38532,3653120200.00,17807200.00,3635313000.00,202205,3,2022,3,2022,2,05,31
2022-05-31,Marketable,Bond,967,9278900.00,664300.00,8614600.00,202205,4,2022,3,2022,2,05,31
2022-05-31,Marketable,Note,15063,883440300.00,11640800.00,871799500.00,202205,5,2022,3,2022,2,05,31
2022-04-30,Savings Bond,EE,19345,9344852.86,156776.00,9188076.86,202204,1,2022,3,2022,2,04,30
2022-04-30,Savings Bond,I,580859,3788579734.35,58524200.08,3730055534.27,202204,2,2022,3,2022,2,04,30
2022-04-30,Marketable,Bill,20914,2473304600.00,8909100.00,2464395500.00,202204,3,2022,3,2022,2,04,30
2022-04-30,Marketable,Bond,93,3666600.00,60300.00,3606300.00,202204,4,2022,3,2022,2,04,30
2022-04-30,Marketable,Note,4133,169729600.00,2469300.00,167260300.00,202204,5,2022,3,2022,2,04,30
2022-03-31,Savings Bond,EE,18073,7344335.47,118300.99,7226034.48,202203,1,2022,2,2022,1,03,31
2022-03-31,Savings Bond,I,202483,936905947.73,16917925.56,919988022.17,202203,2,2022,2,2022,1,03,31
2022-03-31,Marketable,Bill,15033,2378184100.00,19306000.00,2358878100.00,202203,3,2022,2,2022,1,03,31
2022-03-31,Marketable,Bond,314,5279200.00,54600.00,5224600.00,202203,4,2022,2,2022,1,03,31
2022-03-31,Marketable,Note,5002,289228900.00,439800.00,288789100.00,202203,5,2022,2,2022,1,03,31
2022-02-28,Savings Bond,EE,17539,8748201.07,207484.61,8540716.46,202202,1,2022,2,2022,1,02,28
2022-02-28,Savings Bond,I,187349,923105810.41,15933364.37,907172446.04,202202,2,2022,2,2022,1,02,28
2022-02-28,Marketable,Bill,10246,1847170800.00,10300900.00,1836869900.00,202202,3,2022,2,2022,1,02,28
2022-02-28,Marketable,Bond,736,12815800.00,5024900.00,7790900.00,202202,4,2022,2,2022,1,02,28
2022-02-28,Marketable,Note,3116,182843000.00,732700.00,182110300.00,202202,5,2022,2,2022,1,02,28
2022-01-31,Savings Bond,EE,22487,36398969.43,457540.77,35941428.66,202201,1,2022,2,2022,1,01,31
2022-01-31,Savings Bond,I,469779,3294873584.05,37934510.66,3256939073.39,202201,2,2022,2,2022,1,01,31
2022-01-31,Marketable,Bill,7947,1612662600.00,12842900.00,1599819700.00,202201,3,2022,2,2022,1,01,31
2022-01-31,Marketable,Bond,197,1084400.00,26200.00,1058200.00,202201,4,2022,2,2022,1,01,31
2022-01-31,Marketable,Note,3511,157797600.00,4052500.00,153745100.00,202201,5,2022,2,2022,1,01,31
2021-12-31,Savings Bond,EE,36713,20288043.00,358744.99,19929298.01,202112,1,2022,1,2021,4,12,31
2021-12-31,Savings Bond,I,436909,2836196839.39,59586762.88,2776610076.51,202112,2,2022,1,2021,4,12,31
2021-12-31,Marketable,Bill,7342,1541649600.00,17549600.00,1524100000.00,202112,3,2022,1,2021,4,12,31
2021-12-31,Marketable,Bond,232,1276200.00,45900.00,1230300.00,202112,4,2022,1,2021,4,12,31
2021-12-31,Marketable,Note,3165,120951000.00,2417300.00,118533700.00,202112,5,2022,1,2021,4,12,31
2021-11-30,Savings Bond,EE,21386,9936867.27,147014.99,9789852.28,202111,1,2022,1,2021,4,11,30
2021-11-30,Savings Bond,I,204130,1090839227.35,20872927.29,1069966300.06,202111,2,2022,1,2021,4,11,30
2021-11-30,Marketable,Bill,6841,1427395000.00,10599000.00,1416796000.00,202111,3,2022,1,2021,4,11,30
2021-11-30,Marketable,Bond,402,3563800.00,400.00,3563400.00,202111,4,2022,1,2021,4,11,30
2021-11-30,Marketable,Note,3298,155452000.00,1143400.00,154308600.00,202111,5,2022,1,2021,4,11,30
2021-10-31,Savings Bond,EE,19088,5267929.23,137371.97,5130557.26,202110,1,2022,1,2021,4,10,31
2021-10-31,Savings Bond,I,76641,236435362.82,3607174.33,232828188.49,202110,2,2022,1,2021,4,10,31
2021-10-31,Marketable,Bill,6254,1403025200.00,13986600.00,1389038600.00,202110,3,2022,1,2021,4,10,31
2021-10-31,Marketable,Bond,97,336500.00,505000.00,-168500.00,202110,4,2022,1,2021,4,10,31
2021-10-31,Marketable,Note,1261,51590400.00,162500.00,51427900.00,202110,5,2022,1,2021,4,10,31
2021-09-30,Savings Bond,EE,18684,5002287.39,197272.04,4805015.35,202109,1,2021,4,2021,3,09,30
2021-09-30,Savings Bond,I,51538,78413967.83,1089328.36,77324639.47,202109,2,2021,4,2021,3,09,30
2021-09-30,Marketable,Bill,6886,1416443100.00,8680700.00,1407762400.00,202109,3,2021,4,2021,3,09,30
2021-09-30,Marketable,Bond,207,1851400.00,503600.00,1347800.00,202109,4,2021,4,2021,3,09,30
2021-09-30,Marketable,Note,1941,71387400.00,20200.00,71367200.00,202109,5,2021,4,2021,3,09,30
2021-08-31,Savings Bond,EE,19287,5550488.93,235105.04,5315383.89,202108,1,2021,4,2021,3,08,31
2021-08-31,Savings Bond,I,56105,101793245.20,1603092.18,100190153.02,202108,2,2021,4,2021,3,08,31
2021-08-31,Marketable,Bill,7206,1487306900.00,5940500.00,1481366400.00,202108,3,2021,4,2021,3,08,31
2021-08-31,Marketable,Bond,538,4440100.00,900.00,4439200.00,202108,4,2021,4,2021,3,08,31
2021-08-31,Marketable,Note,2812,109283300.00,612600.00,108670700.00,202108,5,2021,4,2021,3,08,31
2021-07-31,Savings Bond,EE,19589,5928919.42,57495.34,5871424.08,202107,1,2021,4,2021,3,07,31
2021-07-31,Savings Bond,I,60253,135088979.40,2414766.14,132674213.26,202107,2,2021,4,2021,3,07,31
2021-07-31,Marketable,Bill,7439,1499613600.00,4075700.00,1495537900.00,202107,3,2021,4,2021,3,07,31
2021-07-31,Marketable,Bond,131,563000.00,1200.00,561800.00,202107,4,2021,4,2021,3,07,31
2021-07-31,Marketable,Note,1081,29125400.00,2635100.00,26490300.00,202107,5,2021,4,2021,3,07,31
2021-06-30,Savings Bond,EE,20556,7524521.31,151623.04,7372898.27,202106,1,2021,3,2021,2,06,30
2021-06-30,Savings Bond,I,80193,287794582.04,6154613.12,281639968.92,202106,2,2021,3,2021,2,06,30
2021-06-30,Marketable,Bill,6944,1583287500.00,11401400.00,1571886100.00,202106,3,2021,3,2021,2,06,30
2021-06-30,Marketable,Bond,468,9208300.00,596700.00,8611600.00,202106,4,2021,3,2021,2,06,30
2021-06-30,Marketable,Note,3629,153939100.00,107300.00,153831800.00,202106,5,2021,3,2021,2,06,30
2021-05-31,Savings Bond,EE,18783,6223521.70,115599.00,6107922.70,202105,1,2021,3,2021,2,05,31
2021-05-31,Savings Bond,I,54571,124872947.58,1119300.50,123753647.08,202105,2,2021,3,2021,2,05,31
2021-05-31,Marketable,Bill,6695,1379928300.00,2261900.00,1377666400.00,202105,3,2021,3,2021,2,05,31
2021-05-31,Marketable,Bond,255,2844600.00,1000.00,2843600.00,202105,4,2021,3,2021,2,05,31
2021-05-31,Marketable,Note,1273,51403200.00,1222000.00,50181200.00,202105,5,2021,3,2021,2,05,31
2021-04-30,Savings Bond,EE,21810,5428537.42,67371.37,5361166.05,202104,1,2021,3,2021,2,04,30
2021-04-30,Savings Bond,I,41348,29693604.42,152006.50,29541597.92,202104,2,2021,3,2021,2,04,30
2021-04-30,Marketable,Bill,8252,1527259500.00,15180600.00,1512078900.00,202104,3,2021,3,2021,2,04,30
2021-04-30,Marketable,Bond,372,7273100.00,12500.00,7260600.00,202104,4,2021,3,2021,2,04,30
2021-04-30,Marketable,Note,3042,110133400.00,576800.00,109556600.00,202104,5,2021,3,2021,2,04,30
2021-03-31,Savings Bond,EE,22589,7032660.74,64953.00,6967707.74,202103,1,2021,2,2021,1,03,31
2021-03-31,Savings Bond,I,43346,34090823.51,334201.00,33756622.51,202103,2,2021,2,2021,1,03,31
2021-03-31,Marketable,Bill,9560,1610098700.00,4524000.00,1605574700.00,202103,3,2021,2,2021,1,03,31
2021-03-31,Marketable,Bond,599,5976900.00,18500.00,5958400.00,202103,4,2021,2,2021,1,03,31
2021-03-31,Marketable,Note,3651,121279200.00,5819000.00,115460200.00,202103,5,2021,2,2021,1,03,31
2021-02-28,Savings Bond,EE,19473,7294917.98,97310.00,7197607.98,202102,1,2021,2,2021,1,02,28
2021-02-28,Savings Bond,I,37795,36777158.69,276881.83,36500276.86,202102,2,2021,2,2021,1,02,28
2021-02-28,Marketable,Bill,9025,1578901200.00,7706600.00,1571194600.00,202102,3,2021,2,2021,1,02,28
2021-02-28,Marketable,Bond,526,14898200.00,1600.00,14896600.00,202102,4,2021,2,2021,1,02,28
2021-02-28,Marketable,Note,1898,70841500.00,476500.00,70365000.00,202102,5,2021,2,2021,1,02,28
2021-01-31,Savings Bond,EE,23005,20694680.35,110135.00,20584545.35,202101,1,2021,2,2021,1,01,31
2021-01-31,Savings Bond,I,49510,106024187.98,412178.95,105612009.03,202101,2,2021,2,2021,1,01,31
2021-01-31,Marketable,Bill,9248,1697460600.00,15749200.00,1681711400.00,202101,3,2021,2,2021,1,01,31
2021-01-31,Marketable,Bond,115,1937200.00,4200.00,1933000.00,202101,4,2021,2,2021,1,01,31
2021-01-31,Marketable,Note,902,32645100.00,996400.00,31648700.00,202101,5,2021,2,2021,1,01,31
2020-12-31,Savings Bond,EE,40451,12320209.61,118060.00,12202149.61,202012,1,2021,1,2020,4,12,31
2020-12-31,Savings Bond,I,58705,48962009.97,532082.15,48429927.82,202012,2,2021,1,2020,4,12,31
2020-12-31,Marketable,Bill,10607,1942031500.00,10200200.00,1931831300.00,202012,3,2021,1,2020,4,12,31
2020-12-31,Marketable,Bond,250,2637600.00,78200.00,2559400.00,202012,4,2021,1,2020,4,12,31
2020-12-31,Marketable,Note,1759,64194400.00,36200.00,64158200.00,202012,5,2021,1,2020,4,12,31
2020-11-30,Savings Bond,EE,22258,5385934.31,85970.00,5299964.31,202011,1,2021,1,2020,4,11,30
2020-11-30,Savings Bond,I,40696,29877608.48,267682.81,29609925.67,202011,2,2021,1,2020,4,11,30
2020-11-30,Marketable,Bill,8546,1762177000.00,15472100.00,1746704900.00,202011,3,2021,1,2020,4,11,30
2020-11-30,Marketable,Bond,405,2468800.00,6500.00,2462300.00,202011,4,2021,1,2020,4,11,30
2020-11-30,Marketable,Note,2563,98666100.00,2610500.00,96055600.00,202011,5,2021,1,2020,4,11,30
2020-10-31,Savings Bond,EE,21845,5725190.73,97446.04,5627744.69,202010,1,2021,1,2020,4,10,31
2020-10-31,Savings Bond,I,37803,16351096.21,100750.00,16250346.21,202010,2,2021,1,2020,4,10,31
2020-10-31,Marketable,Bill,9434,1726629200.00,14345900.00,1712283300.00,202010,3,2021,1,2020,4,10,31
2020-10-31,Marketable,Bond,100,164300.00,200.00,164100.00,202010,4,2021,1,2020,4,10,31
2020-10-31,Marketable,Note,860,29473600.00,659600.00,28814000.00,202010,5,2021,1,2020,4,10,31
2020-09-30,Savings Bond,EE,20529,5119442.19,32608.54,5086833.65,202009,1,2020,4,2020,3,09,30
2020-09-30,Savings Bond,I,35184,14137446.76,130854.24,14006592.52,202009,2,2020,4,2020,3,09,30
2020-09-30,Marketable,Bill,9925,1884130800.00,13648900.00,1870481900.00,202009,3,2020,4,2020,3,09,30
2020-09-30,Marketable,Bond,185,1696500.00,30300.00,1666200.00,202009,4,2020,4,2020,3,09,30
2020-09-30,Marketable,Note,1592,41340000.00,331000.00,41009000.00,202009,5,2020,4,2020,3,09,30
2020-08-31,Savings Bond,EE,20632,5077241.48,143359.30,4933882.18,202008,1,2020,4,2020,3,08,31
2020-08-31,Savings Bond,I,35400,14977147.01,151839.50,14825307.51,202008,2,2020,4,2020,3,08,31
2020-08-31,Marketable,Bill,10092,1784750000.00,9175100.00,1775574900.00,202008,3,2020,4,2020,3,08,31
2020-08-31,Marketable,Bond,411,2856000.00,13200.00,2842800.00,202008,4,2020,4,2020,3,08,31
2020-08-31,Marketable,Note,1424,44513000.00,1679200.00,42833800.00,202008,5,2020,4,2020,3,08,31
2020-07-31,Savings Bond,EE,21111,4957296.36,100590.07,4856706.29,202007,1,2020,4,2020,3,07,31
2020-07-31,Savings Bond,I,37417,13441670.16,112522.33,13329147.83,202007,2,2020,4,2020,3,07,31
2020-07-31,Marketable,Bill,11230,1871939200.00,11526900.00,1860412300.00,202007,3,2020,4,2020,3,07,31
2020-07-31,Marketable,Bond,171,797500.00,46000.00,751500.00,202007,4,2020,4,2020,3,07,31
2020-07-31,Marketable,Note,1859,77385400.00,949100.00,76436300.00,202007,5,2020,4,2020,3,07,31
2020-06-30,Savings Bond,EE,19869,4355734.82,51736.00,4303998.82,202006,1,2020,3,2020,2,06,30
2020-06-30,Savings Bond,I,34820,10728190.53,78215.00,10649975.53,202006,2,2020,3,2020,2,06,30
2020-06-30,Marketable,Bill,11721,1957058500.00,8666400.00,1948392100.00,202006,3,2020,3,2020,2,06,30
2020-06-30,Marketable,Bond,359,1886800.00,2400.00,1884400.00,202006,4,2020,3,2020,2,06,30
2020-06-30,Marketable,Note,2663,87044300.00,711200.00,86333100.00,202006,5,2020,3,2020,2,06,30
2020-05-31,Savings Bond,EE,20840,4728243.65,92658.68,4635584.97,202005,1,2020,3,2020,2,05,31
2020-05-31,Savings Bond,I,36726,12964665.81,226931.00,12737734.81,202005,2,2020,3,2020,2,05,31
2020-05-31,Marketable,Bill,10733,1958344700.00,22053800.00,1936290900.00,202005,3,2020,3,2020,2,05,31
2020-05-31,Marketable,Bond,283,1407600.00,21200.00,1386400.00,202005,4,2020,3,2020,2,05,31
2020-05-31,Marketable,Note,851,27206500.00,283900.00,26922600.00,202005,5,2020,3,2020,2,05,31
2020-04-30,Savings Bond,EE,20302,6026659.02,91755.00,5934904.02,202004,1,2020,3,2020,2,04,30
2020-04-30,Savings Bond,I,44923,51603236.70,352287.46,51250949.24,202004,2,2020,3,2020,2,04,30
2020-04-30,Marketable,Bill,11897,2149186300.00,29153200.00,2120033100.00,202004,3,2020,3,2020,2,04,30
2020-04-30,Marketable,Bond,103,2265300.00,22300.00,2243000.00,202004,4,2020,3,2020,2,04,30
2020-04-30,Marketable,Note,2005,79297300.00,1678000.00,77619300.00,202004,5,2020,3,2020,2,04,30
2020-03-31,Savings Bond,EE,19701,5348543.69,82374.85,5266168.84,202003,1,2020,2,2020,1,03,31
2020-03-31,Savings Bond,I,41843,39166276.58,352314.22,38813962.36,202003,2,2020,2,2020,1,03,31
2020-03-31,Marketable,Bill,18815,3033468100.00,29717700.00,3003750400.00,202003,3,2020,2,2020,1,03,31
2020-03-31,Marketable,Bond,134,857700.00,243700.00,614000.00,202003,4,2020,2,2020,1,03,31
2020-03-31,Marketable,Note,3074,129153000.00,838000.00,128315000.00,202003,5,2020,2,2020,1,03,31
2020-02-29,Savings Bond,EE,18731,4204478.20,32245.83,4172232.37,202002,1,2020,2,2020,1,02,29
2020-02-29,Savings Bond,I,36332,24941227.37,161030.00,24780197.37,202002,2,2020,2,2020,1,02,29
2020-02-29,Marketable,Bill,22972,2781407800.00,24998300.00,2756409500.00,202002,3,2020,2,2020,1,02,29
2020-02-29,Marketable,Bond,458,4899900.00,51100.00,4848800.00,202002,4,2020,2,2020,1,02,29
2020-02-29,Marketable,Note,878,21569700.00,1813700.00,19756000.00,202002,5,2020,2,2020,1,02,29
2020-01-31,Savings Bond,EE,23064,9725032.53,125695.00,9599337.53,202001,1,2020,2,2020,1,01,31
2020-01-31,Savings Bond,I,47765,70893049.25,456166.66,70436882.59,202001,2,2020,2,2020,1,01,31
2020-01-31,Marketable,Bill,26795,3177991900.00,22333900.00,3155658000.00,202001,3,2020,2,2020,1,01,31
2020-01-31,Marketable,Bond,158,1488000.00,100.00,1487900.00,202001,4,2020,2,2020,1,01,31
2020-01-31,Marketable,Note,2900,114311800.00,22100.00,114289700.00,202001,5,2020,2,2020,1,01,31
2019-12-31,Savings Bond,EE,41172,7060649.97,101592.18,6959057.79,201912,1,2020,1,2019,4,12,31
2019-12-31,Savings Bond,I,58162,27548119.62,289306.72,27258812.90,201912,2,2020,1,2019,4,12,31
2019-12-31,Marketable,Bill,23403,2684239000.00,27517600.00,2656721400.00,201912,3,2020,1,2019,4,12,31
2019-12-31,Marketable,Bond,184,3180200.00,10100.00,3170100.00,201912,4,2020,1,2019,4,12,31
2019-12-31,Marketable,Note,3867,160960400.00,466200.00,160494200.00,201912,5,2020,1,2019,4,12,31
2019-11-30,Savings Bond,EE,22036,3628055.73,63776.40,3564279.33,201911,1,2020,1,2019,4,11,30
2019-11-30,Savings Bond,I,39820,14603033.49,205702.87,14397330.62,201911,2,2020,1,2019,4,11,30
2019-11-30,Marketable,Bill,22058,2628265800.00,34139100.00,2594126700.00,201911,3,2020,1,2019,4,11,30
2019-11-30,Marketable,Bond,222,2244300.00,145800.00,2098500.00,201911,4,2020,1,2019,4,11,30
2019-11-30,Marketable,Note,968,27155600.00,359600.00,26796000.00,201911,5,2020,1,2019,4,11,30
2019-10-31,Savings Bond,EE,20292,4187105.64,44677.68,4142427.96,201910,1,2020,1,2019,4,10,31
2019-10-31,Savings Bond,I,39444,21116614.30,110717.06,21005897.24,201910,2,2020,1,2019,4,10,31
2019-10-31,Marketable,Bill,29336,3240081300.00,16353800.00,3223727500.00,201910,3,2020,1,2019,4,10,31
2019-10-31,Marketable,Bond,102,502000.00,100.00,501900.00,201910,4,2020,1,2019,4,10,31
2019-10-31,Marketable,Note,2215,79887000.00,634500.00,79252500.00,201910,5,2020,1,2019,4,10,31
2019-09-30,Savings Bond,EE,19449,3538020.21,143661.23,3394358.98,201909,1,2019,4,2019,3,09,30
2019-09-30,Savings Bond,I,36905,13673805.32,126103.53,13547701.79,201909,2,2019,4,2019,3,09,30
2019-09-30,Marketable,Bill,25378,2835596400.00,35116600.00,2800479800.00,201909,3,2019,4,2019,3,09,30
2019-09-30,Marketable,Bond,151,9909400.00,1185500.00,8723900.00,201909,4,2019,4,2019,3,09,30
2019-09-30,Marketable,Note,3798,149881100.00,103300.00,149777800.00,201909,5,2019,4,2019,3,09,30
2019-08-31,Savings Bond,EE,20731,3721000.50,115228.02,3605772.48,201908,1,2019,4,2019,3,08,31
